mirna_accession,mirna_name,chr,start,end,strand
MIMAT0018932,hsa-miR-378f,1,24255611,24255630,+
MIMAT0027363,hsa-miR-6731-5p,1,25245881,25245902,-
MIMAT0027364,hsa-miR-6731-3p,1,25245836,25245856,-
MIMAT0018940,hsa-miR-4425,1,25350043,25350064,+
MIMAT0018191,hsa-miR-3917,1,26232875,26232894,-
MIMAT0009451,hsa-miR-1976,1,26881065,26881084,+
MIMAT0018933,hsa-miR-4420,1,31212005,31212026,-
MIMAT0016884,hsa-miR-4254,1,32224271,32224293,-
MIMAT0022285,hsa-miR-5585-5p,1,32552550,32552571,+
MIMAT0022286,hsa-miR-5585-3p,1,32552587,32552608,+
MIMAT0017981,hsa-miR-3605-5p,1,33798050,33798072,-
MIMAT0017982,hsa-miR-3605-3p,1,33798006,33798028,-
MIMAT0003215,hsa-miR-552-3p,1,35135215,35135235,-
MIMAT0026615,hsa-miR-552-5p,1,35135251,35135271,-
MIMAT0016885,hsa-miR-4255,1,37627174,37627190,+
MIMAT0027365,hsa-miR-6732-5p,1,37945836,37945855,+
MIMAT0027366,hsa-miR-6732-3p,1,37945868,37945890,+
MIMAT0022275,hsa-miR-5581-5p,1,37966574,37966595,-
MIMAT0022276,hsa-miR-5581-3p,1,37966536,37966557,-
MIMAT0018080,hsa-miR-3659,1,38554961,38554981,+
MIMAT0000692,hsa-miR-30e-5p,1,41220043,41220064,+
MIMAT0000693,hsa-miR-30e-3p,1,41220085,41220106,+
MIMAT0000244,hsa-miR-30c-5p,1,41222972,41222994,+
MIMAT0004674,hsa-miR-30c-1-3p,1,41223011,41223032,+
MIMAT0027367,hsa-miR-6733-5p,1,43637357,43637378,-
MIMAT0027368,hsa-miR-6733-3p,1,43637323,43637342,-
MIMAT0027369,hsa-miR-6734-5p,1,43830359,43830381,-
MIMAT0027370,hsa-miR-6734-3p,1,43830319,43830341,-
MIMAT0027371,hsa-miR-6735-5p,1,43914215,43914239,+
MIMAT0027372,hsa-miR-6735-3p,1,43914261,43914282,+
MIMAT0023704,hsa-miR-6079,1,44304329,44304352,+
MIMAT0022283,hsa-miR-5584-5p,1,45011165,45011186,+
MIMAT0022284,hsa-miR-5584-3p,1,45011203,45011224,+
MIMAT0018934,hsa-miR-4421,1,51525551,51525572,+
MIMAT0025454,hsa-miR-6500-5p,1,51525703,51525726,+
MIMAT0025455,hsa-miR-6500-3p,1,51525744,51525764,+
MIMAT0010364,hsa-miR-761,1,52302047,52302068,-
MIMAT0019942,hsa-miR-4781-5p,1,54519764,54519784,+
MIMAT0019943,hsa-miR-4781-3p,1,54519797,54519818,+
MIMAT0018935,hsa-miR-4422,1,55691329,55691349,+
MIMAT0019816,hsa-miR-4711-5p,1,60198941,60198963,-
MIMAT0019817,hsa-miR-4711-3p,1,60198907,60198924,-
MIMAT0049026,hsa-miR-12132,1,62311812,62311833,+
MIMAT0014978,hsa-miR-3116,1,62544502,62544523,+
MIMAT0014978,hsa-miR-3116,1,62544466,62544487,-
MIMAT0023693,hsa-miR-6068,1,63792635,63792655,-
MIMAT0019967,hsa-miR-4794,1,65045538,65045559,+
MIMAT0018094,hsa-miR-3671,1,65523445,65523466,-
MIMAT0004513,hsa-miR-101-5p,1,65524160,65524181,-
MIMAT0000099,hsa-miR-101-3p,1,65524125,65524145,-
MIMAT0014979,hsa-miR-3117-3p,1,67094168,67094188,+
MIMAT0019197,hsa-miR-3117-5p,1,67094135,67094154,+
MIMAT0005914,hsa-miR-1262,1,68649259,68649280,-
MIMAT0000456,hsa-miR-186-5p,1,71533364,71533385,-
MIMAT0004612,hsa-miR-186-3p,1,71533325,71533346,-
MIMAT0028222,hsa-miR-7156-5p,1,77525828,77525850,+
MIMAT0028223,hsa-miR-7156-3p,1,77525865,77525887,+
MIMAT0019232,hsa-miR-4423-5p,1,85599489,85599510,+
MIMAT0018936,hsa-miR-4423-3p,1,85599525,85599545,+
MIMAT0030431,hsa-miR-7856-5p,1,86823348,86823368,-
MIMAT0004957,hsa-miR-760,1,94312436,94312455,+
MIMAT0049027,hsa-miR-12133,1,95009310,95009331,+
MIMAT0013517,hsa-miR-2682-5p,1,98510863,98510885,-
MIMAT0013518,hsa-miR-2682-3p,1,98510827,98510848,-
MIMAT0000429,hsa-miR-137-3p,1,98511647,98511669,-
MIMAT0037310,hsa-miR-137-5p,1,98511683,98511705,-
MIMAT0003216,hsa-miR-553,1,100746812,100746832,+
MIMAT0030427,hsa-miR-7852-3p,1,108439904,108439925,+
MIMAT0000227,hsa-miR-197-3p,1,110141562,110141583,+
MIMAT0022691,hsa-miR-197-5p,1,110141523,110141545,+
MIMAT0016877,hsa-miR-4256,1,113004428,113004445,-
MIMAT0044656,hsa-miR-11399,1,113424682,113424703,+
MIMAT0018938,hsa-miR-548ac,1,117102660,117102681,-
MIMAT0005792,hsa-miR-320b,1,117214409,117214430,+
MIMAT0004985,hsa-miR-942-5p,1,117637277,117637298,+
MIMAT0026734,hsa-miR-942-3p,1,117637317,117637338,+
MIMAT0027373,hsa-miR-6736-5p,1,145584428,145584448,+
MIMAT0027374,hsa-miR-6736-3p,1,145584461,145584481,+
MIMAT0021079,hsa-miR-5087,1,147806646,147806668,-
MIMAT0023702,hsa-miR-6077,1,147860446,147860466,+
MIMAT0027656,hsa-miR-6878-5p,1,150464826,150464848,+
MIMAT0027657,hsa-miR-6878-3p,1,150464866,150464886,+
MIMAT0016878,hsa-miR-4257,1,150524463,150524480,+
MIMAT0003217,hsa-miR-554,1,151518287,151518307,+
MIMAT0031010,hsa-miR-8083,1,153662239,153662259,-
MIMAT0027375,hsa-miR-6737-5p,1,153934871,153934891,-
MIMAT0027376,hsa-miR-6737-3p,1,153934827,153934848,-
MIMAT0022491,hsa-miR-5698,1,154077038,154077059,-
MIMAT0004929,hsa-miR-190b-5p,1,154166188,154166209,-
MIMAT0037332,hsa-miR-190b-3p,1,154166152,154166172,-
MIMAT0016879,hsa-miR-4258,1,154948179,154948195,+
MIMAT0004792,hsa-miR-92b-5p,1,155164987,155165008,+
MIMAT0003218,hsa-miR-92b-3p,1,155165028,155165049,+
MIMAT0003219,hsa-miR-555,1,155316156,155316176,-
MIMAT0027377,hsa-miR-6738-5p,1,155921100,155921122,-
MIMAT0027378,hsa-miR-6738-3p,1,155921064,155921087,-
MIMAT0000441,hsa-miR-9-5p,1,156390184,156390206,-
MIMAT0000442,hsa-miR-9-3p,1,156390146,156390167,-
MIMAT0003945,hsa-miR-765,1,156905948,156905968,-
MIMAT0016880,hsa-miR-4259,1,159869779,159869800,-
MIMAT0021117,hsa-miR-5187-5p,1,161196985,161197006,+
MIMAT0021118,hsa-miR-5187-3p,1,161197027,161197047,+
MIMAT0019720,hsa-miR-4654,1,162126906,162126927,+
MIMAT0003220,hsa-miR-556-5p,1,162312351,162312372,+
MIMAT0004793,hsa-miR-556-3p,1,162312390,162312411,+
MIMAT0018078,hsa-miR-3658,1,165877160,165877181,+
MIMAT0004971,hsa-miR-921,1,166124010,166124034,-
MIMAT0005945,hsa-miR-1255b-5p,1,167967903,167967924,+
MIMAT0022725,hsa-miR-1255b-2-3p,1,167967937,167967958,+
MIMAT0003221,hsa-miR-557,1,168344822,168344844,+
MIMAT0014981,hsa-miR-3119,1,170120576,170120595,-
MIMAT0014981,hsa-miR-3119,1,170120527,170120546,+
MIMAT0005885,hsa-miR-1295a,1,171070879,171070899,-
MIMAT0022293,hsa-miR-1295b-5p,1,171070880,171070900,+
MIMAT0022294,hsa-miR-1295b-3p,1,171070918,171070939,+
MIMAT0004564,hsa-miR-214-5p,1,172107997,172108018,-
MIMAT0000271,hsa-miR-214-3p,1,172107956,172107977,-
MIMAT0014982,hsa-miR-3120-3p,1,172107998,172108018,+
MIMAT0019198,hsa-miR-3120-5p,1,172107960,172107980,+
MIMAT0000231,hsa-miR-199a-5p,1,172113732,172113754,-
MIMAT0000232,hsa-miR-199a-3p,1,172113694,172113715,-
MIMAT0039764,hsa-miR-1843,1,175937576,175937595,-
MIMAT0002804,hsa-miR-488-5p,1,176998548,176998568,-
MIMAT0004763,hsa-miR-488-3p,1,176998510,176998530,-
MIMAT0018939,hsa-miR-4424,1,178646898,178646919,+
MIMAT0049010,hsa-miR-12116,1,179773073,179773094,+
MIMAT0014983,hsa-miR-3121-3p,1,180407458,180407479,-
MIMAT0019199,hsa-miR-3121-5p,1,180407493,180407514,-
MIMAT0018941,hsa-miR-4426,1,192685463,192685479,+
MIMAT0005936,hsa-miR-1278,1,193105682,193105703,+
MIMAT0019860,hsa-miR-4735-5p,1,196551583,196551604,-
MIMAT0019861,hsa-miR-4735-3p,1,196551547,196551567,-
MIMAT0000257,hsa-miR-181b-5p,1,198828054,198828076,-
MIMAT0022692,hsa-miR-181b-3p,1,198828016,198828036,-
MIMAT0000256,hsa-miR-181a-5p,1,198828237,198828259,-
MIMAT0000270,hsa-miR-181a-3p,1,198828198,198828219,-
MIMAT0021122,hsa-miR-5191,1,201688707,201688728,+
MIMAT0005586,hsa-miR-1231,1,201777743,201777762,+
MIMAT0027379,hsa-miR-6739-5p,1,201832506,201832527,+
MIMAT0027380,hsa-miR-6739-3p,1,201832555,201832575,+
MIMAT0027381,hsa-miR-6740-5p,1,201972257,201972278,+
MIMAT0027382,hsa-miR-6740-3p,1,201972343,201972364,+
MIMAT0000758,hsa-miR-135b-5p,1,205417489,205417511,-
MIMAT0004698,hsa-miR-135b-3p,1,205417451,205417472,-
MIMAT0027620,hsa-miR-6769b-5p,1,206648151,206648173,+
MIMAT0027621,hsa-miR-6769b-3p,1,206648187,206648207,+
MIMAT0004673,hsa-miR-29c-5p,1,207975248,207975269,-
MIMAT0000681,hsa-miR-29c-3p,1,207975210,207975231,-
MIMAT0000100,hsa-miR-29b-3p,1,207975795,207975817,-
MIMAT0004515,hsa-miR-29b-2-5p,1,207975837,207975858,-
MIMAT0000266,hsa-miR-205-5p,1,209605511,209605532,+
MIMAT0009197,hsa-miR-205-3p,1,209605548,209605568,+
MIMAT0016881,hsa-miR-4260,1,209796827,209796845,-
MIMAT0014984,hsa-miR-3122,1,212250964,212250985,+
MIMAT0000272,hsa-miR-215-5p,1,220291258,220291278,-
MIMAT0026476,hsa-miR-215-3p,1,220291219,220291241,-
MIMAT0000460,hsa-miR-194-5p,1,220291548,220291569,-
MIMAT0005948,hsa-miR-664a-5p,1,220373928,220373951,-
MIMAT0005949,hsa-miR-664a-3p,1,220373891,220373913,-
MIMAT0005792,hsa-miR-320b,1,224444751,224444772,-
MIMAT0019872,hsa-miR-4742-5p,1,224585991,224586013,-
MIMAT0019873,hsa-miR-4742-3p,1,224585929,224585951,-
MIMAT0027383,hsa-miR-6741-5p,1,226109816,226109837,-
MIMAT0027384,hsa-miR-6741-3p,1,226109780,226109801,-
MIMAT0021039,hsa-miR-5008-5p,1,228129342,228129363,-
MIMAT0021040,hsa-miR-5008-3p,1,228129311,228129331,-
MIMAT0018001,hsa-miR-3620-3p,1,228285021,228285042,+
MIMAT0022967,hsa-miR-3620-5p,1,228284986,228285007,+
MIMAT0027385,hsa-miR-6742-5p,1,228584784,228584805,-
MIMAT0027386,hsa-miR-6742-3p,1,228584749,228584768,-
MIMAT0019741,hsa-miR-4666a-5p,1,228649784,228649804,+
MIMAT0019742,hsa-miR-4666a-3p,1,228649826,228649846,+
MIMAT0005827,hsa-miR-1182,1,231155587,231155609,-
MIMAT0018942,hsa-miR-4427,1,233759941,233759961,+
MIMAT0019752,hsa-miR-4671-5p,1,234442222,234442243,+
MIMAT0019753,hsa-miR-4671-3p,1,234442258,234442278,+
MIMAT0019890,hsa-miR-4753-5p,1,235353401,235353422,-
MIMAT0019891,hsa-miR-4753-3p,1,235353355,235353376,-
MIMAT0007399,hsa-miR-1537-3p,1,236016300,236016321,-
MIMAT0026765,hsa-miR-1537-5p,1,236016337,236016358,-
MIMAT0018943,hsa-miR-4428,1,237634464,237634485,+
MIMAT0014985,hsa-miR-3123,1,241295620,241295636,+
MIMAT0019760,hsa-miR-4677-5p,1,243509490,243509511,+
MIMAT0019761,hsa-miR-4677-3p,1,243509527,243509548,+
MIMAT0018190,hsa-miR-3916,1,247365318,247365343,-
MIMAT0014986,hsa-miR-3124-5p,1,249120582,249120602,+
MIMAT0019200,hsa-miR-3124-3p,1,249120617,249120638,+
MIMAT0022492,hsa-miR-5699-3p,10,687639,687660,-
MIMAT0027103,hsa-miR-5699-5p,10,687688,687709,-
MIMAT0023697,hsa-miR-6072,10,2118225,2118246,-
MIMAT0023703,hsa-miR-6078,10,4033370,4033388,+
MIMAT0015029,hsa-miR-3155a,10,6194210,6194230,+
MIMAT0019012,hsa-miR-3155b,10,6194172,6194189,-
MIMAT0019013,hsa-miR-548ak,10,12172791,12172811,-
MIMAT0019014,hsa-miR-4480,10,12620795,12620815,+
MIMAT0019015,hsa-miR-4481,10,12695180,12695196,-
MIMAT0011163,hsa-miR-548q,10,12767324,12767345,-
MIMAT0016848,hsa-miR-4293,10,14425209,14425225,-
MIMAT0005918,hsa-miR-1265,10,14478588,14478609,+
MIMAT0002808,hsa-miR-511-5p,10,18134051,18134071,+
MIMAT0026606,hsa-miR-511-3p,10,18134089,18134108,+
MIMAT0019757,hsa-miR-4675,10,20840944,20840965,+
MIMAT0007891,hsa-miR-1915-5p,10,21785538,21785559,-
MIMAT0007892,hsa-miR-1915-3p,10,21785505,21785524,-
MIMAT0003271,hsa-miR-603,10,24564674,24564695,+
MIMAT0031013,hsa-miR-8086,10,28578248,28578269,-
MIMAT0003272,hsa-miR-604,10,29833948,29833966,-
MIMAT0004981,hsa-miR-938,10,29891240,29891261,-
MIMAT0028234,hsa-miR-7162-5p,10,30657577,30657594,-
MIMAT0028235,hsa-miR-7162-3p,10,30657526,30657544,-
MIMAT0017988,hsa-miR-3611,10,35368537,35368557,-
MIMAT0019768,hsa-miR-4683,10,35930109,35930131,-
MIMAT0022259,hsa-miR-5100,10,43493078,43493099,+
MIMAT0015030,hsa-miR-3156-5p,10,45659469,45659490,+
MIMAT0019209,hsa-miR-3156-3p,10,45659510,45659530,+
MIMAT0016849,hsa-miR-4294,10,50193606,50193622,-
MIMAT0003273,hsa-miR-605-5p,10,53059348,53059370,+
MIMAT0026621,hsa-miR-605-3p,10,53059383,53059404,+
MIMAT0005895,hsa-miR-548f-3p,10,56367649,56367667,-
MIMAT0026739,hsa-miR-548f-5p,10,56367686,56367707,-
MIMAT0018199,hsa-miR-3924,10,59064249,59064270,-
MIMAT0005794,hsa-miR-1296-5p,10,65132772,65132793,-
MIMAT0026637,hsa-miR-1296-3p,10,65132729,65132750,-
MIMAT0028212,hsa-miR-7151-5p,10,69163146,69163168,-
MIMAT0028213,hsa-miR-7151-3p,10,69163109,69163129,-
MIMAT0028214,hsa-miR-7152-5p,10,73550504,73550525,+
MIMAT0028215,hsa-miR-7152-3p,10,73550538,73550557,+
MIMAT0019758,hsa-miR-4676-5p,10,74480796,74480816,+
MIMAT0019759,hsa-miR-4676-3p,10,74480830,74480851,+
MIMAT0003274,hsa-miR-606,10,77312276,77312296,+
MIMAT0000773,hsa-miR-346,10,88024504,88024526,-
MIMAT0019762,hsa-miR-4678,10,89263647,89263668,+
MIMAT0019763,hsa-miR-4679,10,90823138,90823159,-
MIMAT0019763,hsa-miR-4679,10,90823101,90823122,+
MIMAT0000104,hsa-miR-107,10,91352513,91352535,-
MIMAT0015031,hsa-miR-3157-5p,10,97824126,97824147,-
MIMAT0019210,hsa-miR-3157-3p,10,97824078,97824099,-
MIMAT0003275,hsa-miR-607,10,98588441,98588461,-
MIMAT0048635,hsa-miR-3085-5p,10,99635617,99635641,-
MIMAT0048636,hsa-miR-3085-3p,10,99635581,99635601,-
MIMAT0005878,hsa-miR-1287-5p,10,100155028,100155049,-
MIMAT0026738,hsa-miR-1287-3p,10,100154989,100155010,-
MIMAT0019771,hsa-miR-4685-5p,10,100191089,100191114,-
MIMAT0019772,hsa-miR-4685-3p,10,100191049,100191070,-
MIMAT0025470,hsa-miR-6507-5p,10,100684300,100684320,-
MIMAT0025471,hsa-miR-6507-3p,10,100684259,100684280,-
MIMAT0003276,hsa-miR-608,10,102734757,102734781,+
MIMAT0015032,hsa-miR-3158-3p,10,103361223,103361244,+
MIMAT0019211,hsa-miR-3158-5p,10,103361186,103361206,+
MIMAT0015032,hsa-miR-3158-3p,10,103361184,103361205,-
MIMAT0019211,hsa-miR-3158-5p,10,103361222,103361242,-
MIMAT0002809,hsa-miR-146b-5p,10,104196277,104196299,+
MIMAT0004766,hsa-miR-146b-3p,10,104196314,104196335,+
MIMAT0005951,hsa-miR-1307-3p,10,105154058,105154079,-
MIMAT0022727,hsa-miR-1307-5p,10,105154098,105154118,-
MIMAT0004979,hsa-miR-936,10,105807909,105807930,-
MIMAT0003277,hsa-miR-609,10,105978607,105978626,-
MIMAT0020958,hsa-miR-4482-3p,10,106028099,106028120,-
MIMAT0019016,hsa-miR-4482-5p,10,106028135,106028156,-
MIMAT0019764,hsa-miR-4680-5p,10,112657852,112657874,+
MIMAT0019765,hsa-miR-4680-3p,10,112657889,112657909,+
MIMAT0005874,hsa-miR-548e-3p,10,112748736,112748757,+
MIMAT0026736,hsa-miR-548e-5p,10,112748698,112748719,+
MIMAT0025842,hsa-miR-6715b-5p,10,114059416,114059436,-
MIMAT0025843,hsa-miR-6715b-3p,10,114059380,114059401,-
MIMAT0025841,hsa-miR-6715a-3p,10,114059418,114059438,+
MIMAT0016844,hsa-miR-4295,10,114393939,114393956,+
MIMAT0019017,hsa-miR-4483,10,115537759,115537775,-
MIMAT0010133,hsa-miR-2110,10,115933910,115933931,-
MIMAT0048639,hsa-miR-9851-5p,10,118587045,118587066,-
MIMAT0048640,hsa-miR-9851-3p,10,118587010,118587031,-
MIMAT0018084,hsa-miR-3663-5p,10,118927245,118927265,-
MIMAT0018085,hsa-miR-3663-3p,10,118927206,118927228,-
MIMAT0019766,hsa-miR-4681,10,121137487,121137508,+
MIMAT0019767,hsa-miR-4682,10,121718034,121718056,+
MIMAT0018357,hsa-miR-3941,10,124176540,124176561,+
MIMAT0016845,hsa-miR-4296,10,126721413,126721429,-
MIMAT0019018,hsa-miR-4484,10,127508372,127508391,+
MIMAT0016846,hsa-miR-4297,10,131641613,131641628,-
MIMAT0016847,hsa-miR-378c,10,132760897,132760921,-
MIMAT0002810,hsa-miR-202-5p,10,135061076,135061097,-
MIMAT0002811,hsa-miR-202-3p,10,135061042,135061061,-
MIMAT0018360,hsa-miR-3944-3p,10,135185083,135185105,-
MIMAT0019231,hsa-miR-3944-5p,10,135185125,135185145,-
MIMAT0027387,hsa-miR-6743-5p,11,209341,209362,+
MIMAT0027388,hsa-miR-6743-3p,11,209383,209405,+
MIMAT0000267,hsa-miR-210-3p,11,568112,568133,-
MIMAT0026475,hsa-miR-210-5p,11,568150,568171,-
MIMAT0027389,hsa-miR-6744-5p,11,1277840,1277858,+
MIMAT0027390,hsa-miR-6744-3p,11,1277878,1277900,+
MIMAT0016852,hsa-miR-4298,11,1880735,1880756,-
MIMAT0030422,hsa-miR-7847-3p,11,1901335,1901355,+
MIMAT0004284,hsa-miR-675-5p,11,2018030,2018052,-
MIMAT0006790,hsa-miR-675-3p,11,2017998,2018017,-
MIMAT0004761,hsa-miR-483-5p,11,2155411,2155432,-
MIMAT0002173,hsa-miR-483-3p,11,2155372,2155392,-
MIMAT0019773,hsa-miR-4686,11,2194302,2194324,+
MIMAT0019774,hsa-miR-4687-5p,11,3877303,3877324,+
MIMAT0019775,hsa-miR-4687-3p,11,3877343,3877363,+
MIMAT0005931,hsa-miR-302e,11,7256002,7256018,+
MIMAT0022483,hsa-miR-5691,11,9111897,9111918,-
MIMAT0019019,hsa-miR-4485-3p,11,10529824,10529843,-
MIMAT0032116,hsa-miR-4485-5p,11,10529852,10529867,-
MIMAT0016851,hsa-miR-4299,11,11678208,11678225,-
MIMAT0030997,hsa-miR-8070,11,11804738,11804759,-
MIMAT0024597,hsa-miR-6124,11,12185239,12185258,+
MIMAT0023698,hsa-miR-6073,11,15991101,15991120,-
MIMAT0015033,hsa-miR-3159,11,18409343,18409364,+
MIMAT0019020,hsa-miR-4486,11,19596861,19596877,+
MIMAT0019786,hsa-miR-4694-5p,11,19781599,19781620,-
MIMAT0019787,hsa-miR-4694-3p,11,19781559,19781579,-
MIMAT0030981,hsa-miR-8054,11,23440706,23440726,-
MIMAT0031014,hsa-miR-8087,11,27536562,27536584,-
MIMAT0003278,hsa-miR-610,11,28078377,28078397,+
MIMAT0030995,hsa-miR-8068,11,28499064,28499085,-
MIMAT0019776,hsa-miR-1343-3p,11,34963435,34963456,+
MIMAT0027038,hsa-miR-1343-5p,11,34963398,34963419,+
MIMAT0019358,hsa-miR-3973,11,36031731,36031753,+
MIMAT0010357,hsa-miR-670-5p,11,43581225,43581244,+
MIMAT0026640,hsa-miR-670-3p,11,43581264,43581284,+
MIMAT0000242,hsa-miR-129-5p,11,43602958,43602978,+
MIMAT0004605,hsa-miR-129-2-3p,11,43603000,43603021,+
MIMAT0028218,hsa-miR-7154-5p,11,45713304,45713326,-
MIMAT0028219,hsa-miR-7154-3p,11,45713254,45713273,-
MIMAT0019777,hsa-miR-4688,11,46398006,46398027,+
MIMAT0015034,hsa-miR-3160-3p,11,46473365,46473386,-
MIMAT0019212,hsa-miR-3160-5p,11,46473406,46473427,-
MIMAT0019212,hsa-miR-3160-5p,11,46473367,46473388,+
MIMAT0015034,hsa-miR-3160-3p,11,46473408,46473429,+
MIMAT0022279,hsa-miR-5582-5p,11,46774721,46774742,-
MIMAT0022280,hsa-miR-5582-3p,11,46774675,46774696,-
MIMAT0027391,hsa-miR-6745,11,47201166,47201186,-
MIMAT0019021,hsa-miR-4487,11,47422574,47422592,+
MIMAT0015035,hsa-miR-3161,11,48118343,48118365,+
MIMAT0024611,hsa-miR-6128,11,56511419,56511437,+
MIMAT0004593,hsa-miR-130a-5p,11,57408685,57408706,+
MIMAT0000425,hsa-miR-130a-3p,11,57408725,57408746,+
MIMAT0015036,hsa-miR-3162-5p,11,59362600,59362622,-
MIMAT0019213,hsa-miR-3162-3p,11,59362560,59362580,-
MIMAT0025462,hsa-miR-6503-5p,11,59976591,59976613,-
MIMAT0025463,hsa-miR-6503-3p,11,59976557,59976577,-
MIMAT0019022,hsa-miR-4488,11,61276071,61276088,+
MIMAT0003279,hsa-miR-611,11,61559972,61559994,-
MIMAT0007881,hsa-miR-1908-5p,11,61582681,61582701,-
MIMAT0026916,hsa-miR-1908-3p,11,61582644,61582664,-
MIMAT0027392,hsa-miR-6746-5p,11,61645724,61645745,-
MIMAT0027393,hsa-miR-6746-3p,11,61645688,61645709,-
MIMAT0027394,hsa-miR-6747-5p,11,62334515,62334538,-
MIMAT0027395,hsa-miR-6747-3p,11,62334483,62334503,-
MIMAT0027396,hsa-miR-6748-5p,11,62557292,62557313,+
MIMAT0027397,hsa-miR-6748-3p,11,62557337,62557357,+
MIMAT0025484,hsa-miR-6514-5p,11,62560221,62560243,-
MIMAT0025485,hsa-miR-6514-3p,11,62560174,62560194,-
MIMAT0028220,hsa-miR-7155-5p,11,64109358,64109376,-
MIMAT0028221,hsa-miR-7155-3p,11,64109321,64109339,-
MIMAT0005592,hsa-miR-1237-3p,11,64136155,64136175,+
MIMAT0022946,hsa-miR-1237-5p,11,64136123,64136143,+
MIMAT0041615,hsa-miR-10392-5p,11,64646059,64646081,-
MIMAT0041616,hsa-miR-10392-3p,11,64645995,64646018,-
MIMAT0000222,hsa-miR-192-5p,11,64658675,64658695,-
MIMAT0004543,hsa-miR-192-3p,11,64658631,64658652,-
MIMAT0000460,hsa-miR-194-5p,11,64658876,64658897,-
MIMAT0004671,hsa-miR-194-3p,11,64658840,64658861,-
MIMAT0027400,hsa-miR-6750-5p,11,64665881,64665904,-
MIMAT0027401,hsa-miR-6750-3p,11,64665835,64665855,-
MIMAT0027398,hsa-miR-6749-5p,11,64669901,64669922,-
MIMAT0027399,hsa-miR-6749-3p,11,64669859,64669879,-
MIMAT0027658,hsa-miR-6879-5p,11,64785982,64786003,+
MIMAT0027659,hsa-miR-6879-3p,11,64786022,64786042,+
MIMAT0027402,hsa-miR-6751-5p,11,64897423,64897445,-
MIMAT0027403,hsa-miR-6751-3p,11,64897388,64897408,-
MIMAT0003280,hsa-miR-612,11,65211944,65211968,+
MIMAT0019779,hsa-miR-4690-5p,11,65403781,65403802,+
MIMAT0019780,hsa-miR-4690-3p,11,65403819,65403839,+
MIMAT0019023,hsa-miR-4489,11,65416668,65416688,+
MIMAT0015037,hsa-miR-3163,11,66701947,66701968,-
MIMAT0027622,hsa-miR-6860,11,66813154,66813175,+
